issue_id,point_id,mach,aoa,value,threshold,status,notes
G07,sbli_m1.50_a10,1.50,10.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a10,1.50,10.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m2.00_a0,2.00,0.0,0.757102,<2.0,pass,CD at M=2.00 AoA=0
G04,cn_m2.00_a0,2.00,0.0,4.169289,<50.0,pass,CN at M=2.00 AoA=0
G07,sbli_m2.00_a0,2.00,0.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a0,2.00,0.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.00_a2,2.00,2.0,0.762247,<2.0,pass,CD at M=2.00 AoA=2
G04,cn_m2.00_a2,2.00,2.0,4.222679,<50.0,pass,CN at M=2.00 AoA=2
G07,sbli_m2.00_a2,2.00,2.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a2,2.00,2.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.00_a5,2.00,5.0,0.789889,<2.0,pass,CD at M=2.00 AoA=5
G04,cn_m2.00_a5,2.00,5.0,4.310764,<50.0,pass,CN at M=2.00 AoA=5
G07,sbli_m2.00_a5,2.00,5.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a5,2.00,5.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.00_a10,2.00,10.0,0.892846,<2.0,pass,CD at M=2.00 AoA=10
G04,cn_m2.00_a10,2.00,10.0,4.478914,<50.0,pass,CN at M=2.00 AoA=10
G07,sbli_m2.00_a10,2.00,10.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a10,2.00,10.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.50_a0,2.50,0.0,0.693085,<2.0,pass,CD at M=2.50 AoA=0
G04,cn_m2.50_a0,2.50,0.0,3.686908,<50.0,pass,CN at M=2.50 AoA=0
G07,sbli_m2.50_a0,2.50,0.0,5.250000,>0.1,pass,|M^2-1| at M=2.50
G08,press_m2.50_a0,2.50,0.0,0.372407,<2.0,pass,Pressure CD at M=2.50
G04,cd_m2.50_a2,2.50,2.0,0.697638,<2.0,pass,CD at M=2.50 AoA=2
G04,cn_m2.50_a2,2.50,2.0,3.736925,<50.0,pass,CN at M=2.50 AoA=2
