issue_id,point_id,mach,aoa,value,threshold,status,notes
G04,cd_m2.00_a2,2.00,2.0,0.697431,<2.0,pass,CD at M=2.00 AoA=2
G04,cn_m2.00_a2,2.00,2.0,4.222679,<50.0,pass,CN at M=2.00 AoA=2
G07,sbli_m2.00_a2,2.00,2.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a2,2.00,2.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.00_a5,2.00,5.0,0.725073,<2.0,pass,CD at M=2.00 AoA=5
G04,cn_m2.00_a5,2.00,5.0,4.310764,<50.0,pass,CN at M=2.00 AoA=5
G07,sbli_m2.00_a5,2.00,5.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a5,2.00,5.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.00_a10,2.00,10.0,0.828031,<2.0,pass,CD at M=2.00 AoA=10
G04,cn_m2.00_a10,2.00,10.0,4.478914,<50.0,pass,CN at M=2.00 AoA=10
G07,sbli_m2.00_a10,2.00,10.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a10,2.00,10.0,0.371639,<2.0,pass,Pressure CD at M=2.00
G04,cd_m2.50_a0,2.50,0.0,0.637184,<2.0,pass,CD at M=2.50 AoA=0
G04,cn_m2.50_a0,2.50,0.0,3.686908,<50.0,pass,CN at M=2.50 AoA=0
G07,sbli_m2.50_a0,2.50,0.0,5.250000,>0.1,pass,|M^2-1| at M=2.50
G08,press_m2.50_a0,2.50,0.0,0.372407,<2.0,pass,Pressure CD at M=2.50
G04,cd_m2.50_a2,2.50,2.0,0.641736,<2.0,pass,CD at M=2.50 AoA=2
G04,cn_m2.50_a2,2.50,2.0,3.736925,<50.0,pass,CN at M=2.50 AoA=2
G07,sbli_m2.50_a2,2.50,2.0,5.250000,>0.1,pass,|M^2-1| at M=2.50
G08,press_m2.50_a2,2.50,2.0,0.372407,<2.0,pass,Pressure CD at M=2.50
G04,cd_m2.50_a5,2.50,5.0,0.666241,<2.0,pass,CD at M=2.50 AoA=5
G04,cn_m2.50_a5,2.50,5.0,3.820357,<50.0,pass,CN at M=2.50 AoA=5
G07,sbli_m2.50_a5,2.50,5.0,5.250000,>0.1,pass,|M^2-1| at M=2.50
G08,press_m2.50_a5,2.50,5.0,0.372407,<2.0,pass,Pressure CD at M=2.50
G04,cd_m2.50_a10,2.50,10.0,0.757863,<2.0,pass,CD at M=2.50 AoA=10
G04,cn_m2.50_a10,2.50,10.0,3.981843,<50.0,pass,CN at M=2.50 AoA=10
G07,sbli_m2.50_a10,2.50,10.0,5.250000,>0.1,pass,|M^2-1| at M=2.50
G08,press_m2.50_a10,2.50,10.0,0.372407,<2.0,pass,Pressure CD at M=2.50
G04,cd_m3.00_a0,3.00,0.0,0.598276,<2.0,pass,CD at M=3.00 AoA=0
G04,cn_m3.00_a0,3.00,0.0,3.384599,<50.0,pass,CN at M=3.00 AoA=0
G07,sbli_m3.00_a0,3.00,0.0,8.000000,>0.1,pass,|M^2-1| at M=3.00
G08,press_m3.00_a0,3.00,0.0,0.372020,<2.0,pass,Pressure CD at M=3.00
G04,cd_m3.00_a2,3.00,2.0,0.602459,<2.0,pass,CD at M=3.00 AoA=2
G04,cn_m3.00_a2,3.00,2.0,3.433693,<50.0,pass,CN at M=3.00 AoA=2
G07,sbli_m3.00_a2,3.00,2.0,8.000000,>0.1,pass,|M^2-1| at M=3.00
G08,press_m3.00_a2,3.00,2.0,0.372020,<2.0,pass,Pressure CD at M=3.00
G04,cd_m3.00_a5,3.00,5.0,0.625029,<2.0,pass,CD at M=3.00 AoA=5
G04,cn_m3.00_a5,3.00,5.0,3.517447,<50.0,pass,CN at M=3.00 AoA=5
G07,sbli_m3.00_a5,3.00,5.0,8.000000,>0.1,pass,|M^2-1| at M=3.00
G08,press_m3.00_a5,3.00,5.0,0.372020,<2.0,pass,Pressure CD at M=3.00
G04,cd_m3.00_a10,3.00,10.0,0.709929,<2.0,pass,CD at M=3.00 AoA=10
G04,cn_m3.00_a10,3.00,10.0,3.684013,<50.0,pass,CN at M=3.00 AoA=10
G07,sbli_m3.00_a10,3.00,10.0,8.000000,>0.1,pass,|M^2-1| at M=3.00
G08,press_m3.00_a10,3.00,10.0,0.372020,<2.0,pass,Pressure CD at M=3.00
G04,cd_m4.00_a0,4.00,0.0,0.547058,<2.0,pass,CD at M=4.00 AoA=0
G04,cn_m4.00_a0,4.00,0.0,3.023622,<50.0,pass,CN at M=4.00 AoA=0
G07,sbli_m4.00_a0,4.00,0.0,15.000000,>0.1,pass,|M^2-1| at M=4.00
G08,press_m4.00_a0,4.00,0.0,0.370340,<2.0,pass,Pressure CD at M=4.00
G04,cd_m4.00_a2,4.00,2.0,0.550801,<2.0,pass,CD at M=4.00 AoA=2
G04,cn_m4.00_a2,4.00,2.0,3.072714,<50.0,pass,CN at M=4.00 AoA=2
G07,sbli_m4.00_a2,4.00,2.0,15.000000,>0.1,pass,|M^2-1| at M=4.00
G08,press_m4.00_a2,4.00,2.0,0.370340,<2.0,pass,Pressure CD at M=4.00
G04,cd_m4.00_a5,4.00,5.0,0.571095,<2.0,pass,CD at M=4.00 AoA=5
G04,cn_m4.00_a5,4.00,5.0,3.160483,<50.0,pass,CN at M=4.00 AoA=5
G07,sbli_m4.00_a5,4.00,5.0,15.000000,>0.1,pass,|M^2-1| at M=4.00
G08,press_m4.00_a5,4.00,5.0,0.370340,<2.0,pass,Pressure CD at M=4.00
G04,cd_m4.00_a10,4.00,10.0,0.648419,<2.0,pass,CD at M=4.00 AoA=10
G04,cn_m4.00_a10,4.00,10.0,3.344455,<50.0,pass,CN at M=4.00 AoA=10
G07,sbli_m4.00_a10,4.00,10.0,15.000000,>0.1,pass,|M^2-1| at M=4.00
G08,press_m4.00_a10,4.00,10.0,0.370340,<2.0,pass,Pressure CD at M=4.00
G04,cd_m5.00_a0,5.00,0.0,0.506969,<2.0,pass,CD at M=5.00 AoA=0
G04,cn_m5.00_a0,5.00,0.0,2.882048,<50.0,pass,CN at M=5.00 AoA=0
G07,sbli_m5.00_a0,5.00,0.0,24.000000,>0.1,pass,|M^2-1| at M=5.00
G08,press_m5.00_a0,5.00,0.0,0.359493,<2.0,pass,Pressure CD at M=5.00
G04,cd_m5.00_a2,5.00,2.0,0.510541,<2.0,pass,CD at M=5.00 AoA=2
